"agency_id","agency_name","agency_url","agency_timezone","agency_lang","agency_phone","agency_fare_url","agency_email"
"1012-ALLGO","allgo (Keolis)","http://www.allgobus.nl","Europe/Amsterdam","nl","003188-0331360","",""
"1012-ARR","Arriva","https://www.arriva.nl","Europe/Amsterdam","nl","0031800-0232545","",""
"1012-BN","Blauwnet","https://blauwnet.nl/","Europe/Amsterdam","nl","","",""
"1012-BRAVO","Bravo","https://www.bravo.info/","Europe/Amsterdam","nl","0031800-0232545","",""
"1012-BRAVO:ARR","Bravo (Arriva)","https://www.bravo.info","Europe/Amsterdam","nl","0031800-0232545","",""
"1012-BRAVO:CXX","Bravo (Hermes)","http://www.bravo.info","Europe/Amsterdam","nl","0031800-0222277","",""
"1012-BRENG","Breng","http://www.breng.nl","Europe/Amsterdam","nl","003126-2142140","",""
"1012-CXX","Connexxion","http://www.connexxion.nl","Europe/Amsterdam","nl","0031900-2666399","",""
"1012-DELIJN","De Lijn","http://www.delijn.be","Europe/Amsterdam","nl","0031900-7289965","",""
"1012-DOEKSEN","Rederij Doeksen","https://www.rederij-doeksen.nl/","Europe/Amsterdam","nl","+31889000888","",""
"1012-EBS","Ebs","http://www.ebs-ov.nl","Europe/Amsterdam","nl","0031800-0327","",""
"1012-GVB","Gvb","http://www.gvb.nl/klantenservice","Europe/Amsterdam","nl","0900-80 11","",""
"1012-HERMES","Hermes","http://www.hermes.nl","Europe/Amsterdam","nl","0031800-0222277","",""
"1012-HTM","Htm","https://htm.nl/klantenservice/","Europe/Amsterdam","nl","+319004864636","",""
"1012-IFF:ARRIVA","Arriva (Ovr)","http://www.arriva.nl","Europe/Amsterdam","nl","0031900-2022022","",""
"1012-IFF:BN","Blauwnet","http://www.blauwnet.nl","Europe/Amsterdam","nl","0031314350111","",""
"1012-IFF:BRENG","Breng","http://www.breng.nl","Europe/Amsterdam","nl","003126-2142140","",""
"1012-IFF:DB","Db","http://www.db.de","Europe/Amsterdam","nl","+491806996633","",""
"1012-IFF:EB","Eurobahn","https://www.eurobahn.de","Europe/Amsterdam","nl","+4934191354042","",""
"1012-IFF:ES","Eu Sleeper","https://www.europeansleeper.eu/","Europe/Amsterdam","nl","0","",""
"1012-IFF:NMBS","Nmbs","http://www.nmbs.be","Europe/Amsterdam","nl","+3225282828","",""
"1012-IFF:NS","Ns","http://www.ns.nl","Europe/Amsterdam","nl","003130-7515155","",""
"1012-IFF:NSI","NS International","http://www.nsinternational.nl","Europe/Amsterdam","nl","0031302300023","",""
"1012-IFF:RNET","R-net","http://www.connexxion.nl","Europe/Amsterdam","nl","0031900-2666399","",""
"1012-IFF:RRREIS","Rrreis","https://www.rrreis.nl","Europe/Amsterdam","nl","+31852085212","",""
"1012-IFF:VIAS","Vias","https://www.vias-online.de/","Europe/Amsterdam","nl","+49069450099650","",""
"1012-OVERAL","Overal (Connexxion)","http://www.overal.nl","Europe/Amsterdam","nl","0031900-2666399","",""
"1012-QBUZZ","Qbuzz","http://www.qbuzz.nl","Europe/Amsterdam","nl","0031900-7289965","",""
"1012-RET","Ret","http://www.ret.nl","Europe/Amsterdam","nl","0031900-5006010","",""
"1012-RRREIS","Rrreis","https://www.rrreis.nl/","Europe/Amsterdam","nl","003185-2085212","",""
"1012-SYNTUS:UT","Syntus Utrecht","http://www.syntusutrecht.nl","Europe/Amsterdam","nl","003188-0331360","",""
"1012-TESO","Teso","https://teso.nl/","Europe/Amsterdam","nl","+31222369600","",""
"1012-TRANSDEV","Transdev","http://www.transdev.nl","Europe/Amsterdam","nl","00319008686","",""
"1012-UOV","U-Ov","http://www.u-ov.info","Europe/Amsterdam","nl","0031900-5252241","",""
"1012-WATERBUS","Waterbus","http://www.example.com","Europe/Amsterdam","nl","","",""
"1012-WPD","Wagenborg Passagiersdiensten","https://www.wpd.nl/","Europe/Amsterdam","nl","+31881031000","",""
"1012-WSF","Westerschelde Ferry","https://westerscheldeferry.nl/","Europe/Amsterdam","nl","+31850401800","",""
"1012-ZTM:Operator:ZTM","Ztm","http://www.example.com","Europe/Amsterdam","nl","","",""
