"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_sort_order","continuous_pickup","continuous_drop_off"
"1012-104288","1012-ALLGO","322","Lijn 322 Parkwijk - Amstel","","3","","e00713","ffffff","","",""
"1012-104290","1012-ALLGO","327","Lijn 327 Haven - Amstel","","3","","e00713","ffffff","","",""
"1012-104291","1012-ALLGO","330","Lijn 330 Almere Buiten - A'dam Bijlmer Arena","","3","","e00713","ffffff","","",""
"1012-104292","1012-ALLGO","N22","Lijn N22 Leidseplein - Poort - Almere Buiten","","3","","f59c00","000000","","",""
"1012-104293","1012-ALLGO","N23","Lijn N23 A'dam CS - Filmwijk - Almere Centrum","","3","","e00713","ffffff","","",""
"1012-104294","1012-ALLGO","M1","Lijn M1 CS - Almere Haven","","3","","0067a7","ffffff","","",""
"1012-104295","1012-ALLGO","M2","Lijn M2 CS - Stripheldenbuurt","","3","","0ba13b","ffffff","","",""
"1012-104296","1012-ALLGO","M3","Lijn M3 CS - Muziekwijk","","3","","e00713","ffffff","","",""
"1012-104297","1012-ALLGO","M4","Lijn M4 CS - Almere Poort","","3","","fdc300","000000","","",""
"1012-104298","1012-ALLGO","M5","Lijn M5 CS - Sallandsekant via Danswijk","","3","","f59c00","000000","","",""
"1012-104299","1012-ALLGO","M6","Lijn M6 CS - Noorderplassen","","3","","007a86","ffffff","","",""
"1012-104300","1012-ALLGO","M7","Lijn M7 CS - Oostvaarders via Parkwijk","","3","","912e7b","ffffff","","",""
"1012-104301","1012-ALLGO","M8","Lijn M8 CS - Nobelhorst","","3","","cdd500","000000","","",""
"1012-104302","1012-ALLGO","22","Lijn 22 Station Buiten - De Vaart","","3","","858c96","ffffff","","",""
"1012-104303","1012-ALLGO","24","Lijn 24 Station Poort - Duin","","3","","858c96","ffffff","","",""
"1012-111061","1012-ALLGO","326","Lijn 326 Almere Stad - Blaricum P+R","","3","","e00713","ffffff","","",""
"1012-100826","1012-ARR","620","Weener - Leer","","3","","","","","",""
"1012-100827","1012-ARR","401","Groningen - Leer","","3","","","","","",""
"1012-103284","1012-ARR","7011","Aalsum - Dokkum, Busstation","","3","","a7398f","ffffff","","",""
"1012-103285","1012-ARR","7012","Aalsum - Dokkum, Sionsberg","","3","","4ec5ae","000000","","",""
"1012-103286","1012-ARR","7021","Ezumazijl - Dokkum, Busstation","","3","","dd06fe","000000","","",""
"1012-103287","1012-ARR","7022","Ezumazijl - Dokkum, Sionsberg","","3","","e1be3e","000000","","",""
"1012-103288","1012-ARR","7031","Oostrum - Dokkum, Busstation","","3","","4530f2","ffffff","","",""
"1012-103289","1012-ARR","7032","Oostrum - Dokkum, Sionsberg","","3","","604852","ffffff","","",""
"1012-103290","1012-ARR","7041","Hantumhuizen - Dokkum, Busstation","","3","","b899d7","000000","","",""
"1012-103291","1012-ARR","7042","Hantumhuizen - Dokkum, Sionsberg","","3","","abd8fd","000000","","",""
"1012-103292","1012-ARR","7043","Hantumhuizen - Holwerd, Prov. weg","","3","","d5f2a3","000000","","",""
"1012-103293","1012-ARR","7051","Hantumeruitburen - Dokkum, Busstation","","3","","19f7a0","000000","","",""
"1012-103294","1012-ARR","7052","Hantumeruitburen - Dokkum, Sionsberg","","3","","cd96b2","000000","","",""
"1012-103295","1012-ARR","7053","Hantumeruitburen - Holwerd, Prov. weg","","3","","5ca46b","000000","","",""
"1012-103296","1012-ARR","7061","Hiaure - Dokkum, Busstation","","3","","c4eb4b","000000","","",""
"1012-103297","1012-ARR","7062","Hiaure - Dokkum, Sionsberg","","3","","138e0d","000000","","",""
"1012-103298","1012-ARR","7063","Hiaure - Holwerd, Prov. Weg","","3","","3d0b0b","ffffff","","",""
"1012-103300","1012-ARR","7081","Sibrandahûs - Dokkum, Busstation","","3","","7915da","ffffff","","",""
"1012-103301","1012-ARR","7082","Sibrandahûs - Dokkum, Sionsberg","","3","","92f8fc","000000","","",""
"1012-103302","1012-ARR","7083","Sibrandahûs - Oentsjerk","","3","","8e9fef","000000","","",""
"1012-103303","1012-ARR","7084","Sibrandahûs - Ferwert, Prov. weg","","3","","c8b581","000000","","",""
"1012-103304","1012-ARR","7091","Raard - Dokkum, Busstation","","3","","24d65a","000000","","",""
"1012-103305","1012-ARR","7092","Raard - Dokkum, Sionsberg","","3","","02c496","000000","","",""
"1012-103306","1012-ARR","7093","Raard - Oentsjerk","","3","","983004","ffffff","","",""
"1012-103307","1012-ARR","7094","Raard - Ferwert, Prov. weg","","3","","524d22","ffffff","","",""
"1012-103308","1012-ARR","7101","Lichtaard - Dokkum, Busstation","","3","","d5d7ef","000000","","",""
