"from_stop_id","to_stop_id","transfer_type","min_transfer_time"
"1012-2510031","1012-2510030","0",""
"1012-2510032","1012-2510033","0",""
"1012-2510054","1012-2510055","0",""
"1012-2510054","1012-2510059","0",""
"1012-2510054","1012-2510060","0",""
"1012-2510054","1012-2510062","0",""
"1012-2510054","1012-2510063","0",""
"1012-2510055","1012-2510054","0",""
"1012-2510055","1012-2510059","0",""
"1012-2510055","1012-2510062","0",""
"1012-2510059","1012-2510054","0",""
"1012-2510059","1012-2510055","0",""
"1012-2510059","1012-2510062","0",""
"1012-2510060","1012-2510062","0",""
"1012-2510060","1012-2510067","0",""
"1012-2510062","1012-2510054","0",""
"1012-2510062","1012-2510055","0",""
"1012-2510062","1012-2510059","0",""
"1012-2510062","1012-2510064","0",""
"1012-2510062","1012-2510067","0",""
"1012-2510064","1012-2510059","0",""
"1012-2510064","1012-2510062","0",""
"1012-2510064","1012-2510067","0",""
"1012-2510067","1012-2510059","0",""
"1012-2510067","1012-2510060","0",""
"1012-2510067","1012-2510062","0",""
"1012-2510067","1012-2510064","0",""
"1012-2510113","1012-2547923","0",""
"1012-2510144","1012-2510145","0",""
"1012-2510146","1012-2510145","0",""
"1012-2510147","1012-2510148","0",""
"1012-2510148","1012-2510147","0",""
"1012-2510148","1012-2510149","0",""
"1012-2510149","1012-2510147","0",""
"1012-2510155","1012-2510173","0",""
"1012-2510155","1012-2510174","0",""
"1012-2510155","1012-2510176","0",""
"1012-2510155","1012-2510177","0",""
"1012-2510155","1012-2510179","0",""
"1012-2510156","1012-2510160","0",""
"1012-2510156","1012-2510180","0",""
"1012-2510156","1012-2510181","0",""
"1012-2510157","1012-2510158","0",""
"1012-2510157","1012-2510160","0",""
"1012-2510157","1012-2510161","0",""
"1012-2510157","1012-2510163","0",""
"1012-2510157","1012-2510180","0",""
"1012-2510157","1012-2510181","0",""
"1012-2510157","1012-2510182","0",""
"1012-2510157","1012-2510183","0",""
"1012-2510157","1012-2510184","0",""
"1012-2510157","1012-2510185","0",""
"1012-2510158","1012-2510157","0",""
"1012-2510158","1012-2510180","0",""
"1012-2510158","1012-2510181","0",""
"1012-2510158","1012-2510185","0",""
"1012-2510159","1012-2510180","0",""
"1012-2510159","1012-2510181","0",""
"1012-2510160","1012-2510156","0",""
"1012-2510160","1012-2510157","0",""
"1012-2510160","1012-2510158","0",""
"1012-2510160","1012-2510180","0",""
"1012-2510160","1012-2510181","0",""
"1012-2510160","1012-2510182","0",""
"1012-2510160","1012-2510183","0",""
"1012-2510160","1012-2510184","0",""
"1012-2510160","1012-2510185","0",""
"1012-2510161","1012-2510156","0",""
"1012-2510161","1012-2510157","0",""
"1012-2510161","1012-2510158","0",""
"1012-2510161","1012-2510180","0",""
"1012-2510161","1012-2510181","0",""
"1012-2510161","1012-2510183","0",""
"1012-2510161","1012-2510185","0",""
"1012-2510163","1012-2510157","0",""
"1012-2510164","1012-2510156","0",""
"1012-2510164","1012-2510157","0",""
"1012-2510164","1012-2510158","0",""
"1012-2510171","1012-2510155","0",""
"1012-2510171","1012-2510173","0",""
"1012-2510171","1012-2510174","0",""
"1012-2510171","1012-2510175","0",""
"1012-2510171","1012-2510176","0",""
"1012-2510172","1012-2510173","0",""
"1012-2510172","1012-2510174","0",""
"1012-2510172","1012-2510175","0",""
"1012-2510172","1012-2510176","0",""
"1012-2510172","1012-2510177","0",""
"1012-2510172","1012-2510178","0",""
"1012-2510173","1012-2510155","0",""
"1012-2510173","1012-2510171","0",""
"1012-2510173","1012-2510172","0",""
"1012-2510173","1012-2510177","0",""
"1012-2510173","1012-2510178","0",""
"1012-2510174","1012-2510155","0",""
"1012-2510174","1012-2510172","0",""
"1012-2510174","1012-2510177","0",""
"1012-2510174","1012-2510178","0",""
"1012-2510174","1012-2510179","0",""
"1012-2510174","1012-2510180","0",""
"1012-2510174","1012-2510181","0",""
"1012-2510174","1012-2510182","0",""
"1012-2510174","1012-2510183","0",""
"1012-2510174","1012-2510184","0",""
"1012-2510174","1012-2510185","0",""
"1012-2510175","1012-2510155","0",""
"1012-2510175","1012-2510172","0",""
"1012-2510175","1012-2510176","0",""
"1012-2510175","1012-2510178","0",""
"1012-2510175","1012-2510180","0",""
"1012-2510176","1012-2510155","0",""
"1012-2510176","1012-2510171","0",""
"1012-2510176","1012-2510172","0",""
"1012-2510176","1012-2510177","0",""
"1012-2510176","1012-2510178","0",""
"1012-2510176","1012-2510179","0",""
"1012-2510176","1012-2510180","0",""
"1012-2510176","1012-2510181","0",""
"1012-2510176","1012-2510182","0",""
"1012-2510176","1012-2510183","0",""
"1012-2510176","1012-2510184","0",""
"1012-2510176","1012-2510185","0",""
"1012-2510177","1012-2510155","0",""
"1012-2510177","1012-2510172","0",""
"1012-2510177","1012-2510174","0",""
"1012-2510177","1012-2510175","0",""
"1012-2510177","1012-2510176","0",""
"1012-2510177","1012-2510178","0",""
"1012-2510177","1012-2510180","0",""
"1012-2510177","1012-2510181","0",""
"1012-2510177","1012-2510182","0",""
"1012-2510177","1012-2510183","0",""
"1012-2510177","1012-2510185","0",""
"1012-2510178","1012-2510155","0",""
"1012-2510178","1012-2510172","0",""
"1012-2510178","1012-2510173","0",""
"1012-2510178","1012-2510174","0",""
"1012-2510178","1012-2510175","0",""
"1012-2510178","1012-2510176","0",""
"1012-2510178","1012-2510177","0",""
"1012-2510178","1012-2510180","0",""
"1012-2510178","1012-2510181","0",""
"1012-2510178","1012-2510182","0",""
"1012-2510178","1012-2510183","0",""
"1012-2510178","1012-2510185","0",""
"1012-2510179","1012-2510155","0",""
"1012-2510179","1012-2510174","0",""
"1012-2510179","1012-2510176","0",""
"1012-2510179","1012-2510178","0",""
"1012-2510179","1012-2510180","0",""
"1012-2510179","1012-2510181","0",""
"1012-2510179","1012-2510183","0",""
"1012-2510180","1012-2510157","0",""
"1012-2510180","1012-2510158","0",""
"1012-2510180","1012-2510160","0",""
"1012-2510180","1012-2510161","0",""
"1012-2510180","1012-2510174","0",""
"1012-2510180","1012-2510176","0",""
"1012-2510180","1012-2510177","0",""
"1012-2510180","1012-2510178","0",""
"1012-2510180","1012-2510179","0",""
"1012-2510180","1012-2510183","0",""
"1012-2510180","1012-2510184","0",""
"1012-2510180","1012-2510185","0",""
"1012-2510181","1012-2510157","0",""
